City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fort bragg,35.139,-79.006,19.91,92,100,2.57,US,1702249679
83,fale old settlement,-9.3852,-171.2468,28.77,78,100,6.03,TK,1702249730
84,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,95,100,6.71,RU,1702249730
85,tarauaca,-8.1614,-70.7656,25.41,87,86,1.11,BR,1702249730
86,geraldton,-28.7667,114.6,24.23,17,0,6.69,AU,1702249730
87,georgetown,5.4112,100.3354,26.96,83,20,3.09,MY,1702249711
88,schalksmuhle,51.2333,7.5333,9.78,92,100,1.34,DE,1702249730
89,bilibino,68.0546,166.4372,-26.14,98,43,1.95,RU,1702249730
90,la'ie,21.6477,-157.9253,28.98,73,22,1.79,US,1702249730
91,ujae,8.9322,165.7642,27.57,80,99,7.19,MH,1702249730
92,rabo de peixe,37.8,-25.5833,17.77,99,40,5.66,PT,1702249731
93,longboat key,27.4125,-82.659,20.01,66,100,1.54,US,1702249731
94,howard springs,-12.497,131.047,32.15,85,64,0.83,AU,1702249731
95,laguna,38.421,-121.4238,15.86,56,0,2.06,US,1702249731
96,khandyga,62.6667,135.6,-33.32,99,100,0.99,RU,1702249731
97,champerico,14.3,-91.9167,32.3,73,13,3.37,GT,1702249731
98,zelenoborskiy,66.845,32.3622,-14.16,96,100,2.36,RU,1702249731
99,raduzhny,62.0961,77.475,-34.93,99,8,1.49,RU,1702249731
100,port alfred,-33.5906,26.891,16.77,93,27,1.74,ZA,1702249732
101,sitka,57.0531,-135.33,3.94,81,75,2.06,US,1702249553
102,margaret river,-33.95,115.0667,15.88,49,0,5.46,AU,1702249732
103,invercargill,-46.4,168.35,15.88,48,51,6.42,NZ,1702249619
104,portland,45.5234,-122.6762,12.56,95,100,2.68,US,1702249555
105,port elizabeth,-33.918,25.5701,14.62,91,4,0.45,ZA,1702249721
106,yellowknife,62.456,-114.3525,-12.55,99,100,8.36,CA,1702249733
107,minas de marcona,-15.2119,-75.1103,17.23,71,80,5.8,PE,1702249733
108,humberto de campos,-2.5983,-43.4611,26.75,77,88,4.12,BR,1702249733
109,thurso,58.5927,-3.5259,6.14,82,100,9.61,GB,1702249733
110,broken hill,-31.95,141.4333,31.85,26,97,6.86,AU,1702249711
111,cuito,-12.3833,16.9333,16.38,95,100,0.91,AO,1702249733
112,grootfontein,-19.5667,18.1167,22.27,20,9,3.96,NA,1702249734
113,shimoda,34.6667,138.95,12.28,62,100,2.58,JP,1702249734
114,mount gambier,-37.8333,140.7667,15.8,87,100,5.58,AU,1702249734
115,wau,7.7029,27.9953,27.03,27,18,0.61,SS,1702249734
116,kokopo,-4.352,152.2633,25.72,84,100,1.86,PG,1702249734
117,maues,-3.3836,-57.7186,27.32,79,100,1.13,BR,1702249648
118,haiku-pauwela,20.9219,-156.3051,31.01,45,40,4.63,US,1702249734
119,mwingi,-0.9344,38.0601,20.28,76,95,0.88,KE,1702249734
120,puerto aysen,-45.4,-72.7,12.36,99,100,2.23,CL,1702249735
121,wailua homesteads,22.0669,-159.378,26.53,76,20,4.12,US,1702249735
122,luderitz,-26.6481,15.1594,17.69,67,1,8.84,NA,1702249735
123,cabo san lucas,22.8909,-109.9124,28.67,50,0,5.66,MX,1702249558
124,las khorey,11.1595,48.1967,24.78,74,11,3.04,SO,1702249735
125,ntoum,0.3833,9.7833,26.87,92,100,1.27,GA,1702249735
126,san luis de la loma,17.2706,-100.8939,27.7,72,100,2.59,MX,1702249735
127,novo aripuana,-5.1206,-60.3797,27.06,75,98,1.17,BR,1702249735
128,madalena,41.2162,-8.3345,16.32,92,98,1.98,PT,1702249735
129,nikolayevsk-on-amure,53.1406,140.73,-21.2,84,100,5.41,RU,1702249736
130,turkmenbasy,40.0222,52.9552,10.43,76,100,9.77,TM,1702249736
131,labasa,-16.4167,179.3833,29.08,46,50,3.05,FJ,1702249736
132,yigo village,13.5361,144.8886,28.62,76,75,6.17,GU,1702249736
133,klyuchi,52.2667,79.1667,-21.46,87,21,2.51,RU,1702249736
134,yamoussoukro,6.8206,-5.2767,24.64,69,77,1.65,CI,1702249736
135,east london,-33.0153,27.9116,16.73,78,92,2.38,ZA,1702249576
136,remire-montjoly,4.9167,-52.2667,28.02,78,20,1.03,GF,1702249736
137,pandan,14.0453,124.1694,27.22,82,81,4.08,PH,1702249737
138,antsiranana,-12.2787,49.2917,25.41,85,78,5.13,MG,1702249737
139,haraiya,26.8,82.4667,12.9,38,0,1.98,IN,1702249737
140,marly,50.3456,3.5496,12.01,91,65,8.24,FR,1702249737
141,hadibu,12.65,54.0333,24.54,71,38,4.97,YE,1702249737
142,papao,-17.75,-149.55,30.82,83,64,12.44,PF,1702249737
143,nar'yan-mar,67.6713,53.087,-22.72,91,99,4.92,RU,1702249737
144,mora,11.0461,14.1401,19.66,31,2,2.1,CM,1702249737
145,goya,-29.14,-59.2626,22.11,69,0,2.68,AR,1702249738
146,portage la prairie,49.9728,-98.2926,-7.72,70,47,2.42,CA,1702249637
147,xique xique,-10.8217,-42.7311,29.38,51,39,1.21,BR,1702249577
148,al jahra',29.3375,47.6581,20.75,36,100,3.5,KW,1702249738
149,hamilton,39.1834,-84.5333,2.45,81,100,6.71,US,1702249668
150,strezhevoy,60.7333,77.5889,-31.69,99,7,2.24,RU,1702249738
151,ushuaia,-54.8,-68.3,5.42,90,93,1.82,AR,1702249738
152,longyearbyen,78.2186,15.6401,0.91,69,75,6.17,SJ,1702249738
153,bayanaul,50.7889,75.6956,-23.99,95,39,2.11,KZ,1702249738
154,darwin,-12.4611,130.8418,32.19,78,75,0.51,AU,1702249738
155,funadhoo,6.15,73.2667,28.17,78,72,4.13,MV,1702249739
156,sarakhs,36.5449,61.1577,11.09,41,17,1.31,IR,1702249739
157,moncks corner,33.196,-80.0131,20.64,81,75,4.63,US,1702249739
158,udachny,66.4167,112.4,-28.64,82,100,5.53,RU,1702249739
159,mount isa,-20.7333,139.5,24.87,50,78,7.72,AU,1702249739
160,happy valley-goose bay,53.3168,-60.3315,3.77,84,100,7.43,CA,1702249739
161,opuwo,-18.0607,13.84,21.93,37,6,2.09,NA,1702249739
162,steinkjer,64.193,11.3851,-6.48,95,49,1.21,NO,1702249739
163,santa lucia cotzumalguapa,14.3333,-91.0167,27.07,73,7,1.22,GT,1702249740
164,kenai,60.5544,-151.2583,-5.48,92,100,15.43,US,1702249740
165,vodnyy,63.5046,53.4095,-30.88,99,100,1.86,RU,1702249740
166,kavaratti,10.5669,72.642,28.7,72,87,1.29,IN,1702249740
167,bredasdorp,-34.5322,20.0403,15.81,80,0,2.23,ZA,1702249740
168,daru,-9.0763,143.2092,25.91,85,100,1.53,PG,1702249740
169,avella,40.9589,14.6005,11.73,83,28,2.26,IT,1702249740
170,guatire,10.4762,-66.5427,22.57,96,38,1.05,VE,1702249740
171,muslyumovo,55.3033,53.1947,-26.33,99,100,1.42,RU,1702249741
172,guerrero negro,27.9769,-114.0611,23.74,23,0,2.22,MX,1702249741
173,avarua,-21.2078,-159.775,25.03,94,100,11.32,CK,1702249741
174,turtas,58.9417,69.1325,-29.6,95,11,2.59,RU,1702249741
175,saint-philippe,-21.3585,55.7679,24.77,85,81,5.21,RE,1702249741
176,cadale,2.7603,46.3222,27.39,79,24,5.89,SO,1702249742
177,binhe,32.6883,112.8275,0.03,86,99,7.45,CN,1702249742
178,kamyzyak,46.11,48.0736,-4.99,62,40,7.0,RU,1702249742
179,wenshui,28.4506,106.5267,10.71,94,100,1.08,CN,1702249742
180,kralendijk,12.15,-68.2667,25.99,89,40,5.66,BQ,1702249742
181,kongsvinger,60.1905,11.9977,-2.53,95,100,2.67,NO,1702249742
182,sao tome,0.3365,6.7273,26.52,85,97,1.66,ST,1702249743
183,oum hadjer,13.2954,19.6966,20.85,20,45,4.14,TD,1702249743
184,brazzaville,-4.2658,15.2832,24.2,94,20,1.03,CG,1702249743
185,samarinda,-0.5,117.15,23.45,98,100,0.84,ID,1702249743
186,galliano,29.4422,-90.2992,14.44,41,0,3.09,US,1702249743
187,magadan,59.5667,150.8,-5.67,81,92,8.13,RU,1702249743
188,heringen,50.888,10.0072,8.0,87,100,8.98,DE,1702249744
189,pathein,16.7833,94.7333,23.06,81,23,2.54,MM,1702249744
190,takoradi,4.8845,-1.7554,26.91,82,92,4.0,GH,1702249744
191,taupo,-38.6833,176.0833,15.86,62,97,2.31,NZ,1702249744
192,bandarbeyla,9.4942,50.8122,25.21,75,27,9.15,SO,1702249745
193,peruibe,-24.32,-46.9983,22.22,92,100,5.42,BR,1702249724
194,chonchi,-42.6128,-73.8092,17.56,71,96,1.57,CL,1702249745
195,ochobo,7.183,7.9769,26.11,35,9,1.07,NG,1702249745
196,les anglais,18.3054,-74.2197,26.64,80,40,3.86,HT,1702249745
197,pisco,-13.7,-76.2167,22.03,73,0,5.14,PE,1702249745
198,casablanca,33.5928,-7.6192,18.01,88,0,1.79,MA,1702249527
199,olonkinbyen,70.9221,-8.7187,-4.63,58,57,3.23,SJ,1702249746
200,neiafu,-18.65,-173.9833,29.38,61,20,3.6,TO,1702249746
201,new norfolk,-42.7826,147.0587,19.95,37,86,0.94,AU,1702249746
